#Demo3, VirtualBox, Docker, Computer Name: Sonalâ€™s MacBook Pro
real,user,sys
5.807,5.600,0.180
5.703,5.470,0.210
5.752,5.560,0.170
5.738,5.530,0.190
5.720,5.560,0.140
5.703,5.470,0.200
5.733,5.550,0.160
5.712,5.560,0.120
5.765,5.480,0.260
5.724,5.550,0.140
5.709,5.500,0.180
5.732,5.520,0.180
5.714,5.530,0.160
5.715,5.520,0.170
5.714,5.440,0.250
5.737,5.500,0.190
5.728,5.560,0.140
5.681,5.490,0.160
5.740,5.580,0.130
5.702,5.540,0.130
5.713,5.520,0.160
5.725,5.520,0.180
5.714,5.430,0.260
5.707,5.490,0.180
5.729,5.540,0.160
5.717,5.510,0.180
5.701,5.500,0.170
5.717,5.500,0.190
5.708,5.570,0.120
5.710,5.550,0.130
5.717,5.500,0.190
5.709,5.510,0.170
5.698,5.520,0.160
5.711,5.470,0.220
5.700,5.440,0.240
5.708,5.520,0.160
5.706,5.430,0.230
6.054,5.820,0.210
7.052,6.800,0.190
6.507,6.270,0.210
7.059,6.670,0.340
6.292,6.010,0.250
6.484,6.210,0.250
6.434,6.190,0.210
6.229,5.880,0.300
5.784,5.580,0.170
5.793,5.600,0.170
5.747,5.550,0.170
5.757,5.590,0.140
5.794,5.590,0.180
